# ----------------------------------------,,,
# Pages and screens: Page path and screen class,,,
# Account: Client 4,,,
# Property: natyasutraonline - GA4,,,
# ----------------------------------------,,,
# ,,,
# All Users,,,
# Start date: 20250101,,,
# End date: 20251231,,,
Page path and screen class,Views,Average engagement time per active user,Bounce rate
/mohiniyattam/smitha-rajan/master-class-varnam-suma-sayaka,834,31.491085899513777,0.2596537949400799
/picture-gallery/samyuta-hasta-bharatanatyam/Anjali-Hasta-Bharatanatyam/,821,66.7110655737705,0.31811023622047246
/mohiniyattam/deepti-omchery-bhalla/composition-adikeshava-nritya-prabandham,812,25.996661101836395,0.10985915492957747
/gita-govinda/epic/global-classic,804,24.685131195335277,0.0070028011204481795
/gita-govinda/all-24-prabandhs,800,13.815551537070524,0.06568144499178982
/my-page/pgm/lesson-videos-online/MTM1/html,798,116.25462962962963,0.0768025078369906
/bharatanatyam/rajashreewarrier/composition-bhogeendra-sayinam,796,24.50949913644214,0.15492957746478872
/odissi/sujata-mohapatra-kelucharan,794,40.12658227848101,0.13978494623655913
/picture-gallery/samyuta-hasta-bharatanatyam/Svastika-Hasta-Bharatanatyam,759,32.20840630472855,0.04272151898734177
/kuchipudi/sreelakshmy-govardhanan,756,44.8762677484787,0.1505016722408027
/mohiniyattam/neena-prasad/master-class-revati-raga-thillana,755,37.11434511434511,0.24423963133640553
/picture-gallery/samyuta-hasta-bharatanatyam/Katakavardhana-Hasta-Bharatanatyam,732,40.3058608058608,0.04241435562805873
/freeclass/kathakali-kalyanasougandhikam,731,23.665420560747663,0.3646322378716745
/music/classical-vocal/dr-leela-omchery/thiruvathirappattukal-thiruvathira-songs,721,31.076648841354725,0.2944078947368421
/bharatanatyam/rama-vaidhyanathan/composition-thiruvempavai,720,38.28155339805825,0.12217194570135746
/kuchipudi,718,52.64574898785425,0.22241992882562278
/picture-gallery/kerala-folk-art-forms/koramba-kali/,711,64.42558139534884,0.3142329020332717
/kathakali/kalamandalam-gopi,698,58.190298507462686,0.35139573070607555
/picture-gallery/samyuta-hasta-bharatanatyam/Utsanga-Hasta-Bharatanatyam,692,42.417624521072796,0.02613240418118467
/picture-gallery/samyuta-hasta-bharatanatyam/Bherunda-Hasta-Bharatanatyam,685,31.293893129770993,0.0791599353796446
/classical-dance-performances,682,13.190298507462687,0.024390243902439025
/picture-gallery/samyuta-hasta-bharatanatyam/Dola-Hasta-Bharatanatyam,675,38.69172932330827,0.04215851602023609
/freeclass/neelavarnam,674,39.51983298538622,0.12903225806451613
/mohiniyattam/smitha-rajan/composition-cholkettu,666,22.646271510516254,0.2684563758389262
/picture-gallery/asamyuta-hasta-bharatanatyam/Ardhacandra-Hasta/,660,43.51417004048583,0.289134438305709
/picture-gallery/kerala-folk-art-forms/mudiyattam/,656,41.18604651162791,0.3001949317738791
/picture-gallery/samyuta-hasta-bharatanatyam/Puspaputa-Hasta-Bharatanatyam,643,40.32741617357002,0.06338028169014084
/techniques,642,11.304347826086957,0.04753199268738574
/kathak/gurupalichandra/composition-thumri-dagar-chalat,637,27.24025974025974,0.18281535648994515
/mohiniyattam/smitha-rajan/composition-sree-chakra-raja-learn-keerthanam-online,633,17.477227722772277,0.2602739726027397
/kathak/gurupalichandra/master-class-payaliya-tarana-payaliya-jhankar-mori,628,23.826175869120654,0.2326388888888889
/picture-gallery/samyuta-hasta-bharatanatyam/Sakata-Hasta-Bharatanatyam,624,37.85480572597137,0.02824858757062147
/freeclass/gita-govinda-or-ashtapadi-dance-performance,623,28.05697445972495,0.23529411764705882
/picture-gallery/samyuta-hasta-bharatanatyam/Pasa-Hasta-Bharatanatyam,623,38.39004149377593,0.043151969981238276
/picture-gallery/samyuta-hasta-bharatanatyam/Katva-Hasta-Bharatanatyam,616,32.94130434782609,0.0421455938697318
/programmes,616,14.269662921348315,0.043701799485861184
/gita-govinda/epic/shringara,613,53,0.29471544715447157
/picture-gallery/samyuta-hasta-bharatanatyam/Sivalinga-Hasta-Bharatanatyam,610,41.54507337526206,0.04007633587786259
/freeclass/kathak-performances,604,25.169565217391305,0.12267657992565056
/bharatanatyam/rajashreewarrier/performance-panchatantra-and-jataka-stories,603,28.224400871459697,0.2549728752260398
/picture-gallery/kerala-folk-art-forms/poothanum-thirayum,584,35.578088578088575,0.3252032520325203
